ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets,Ratings
0,Terrence Duffin,36,136,3,0,5,994,23.74,48.97994788,5.264759801,319,1585,1,693,77,126
1,Keith W R Fletcher,74,23,5,6,240,1134,39.84,48.97994788,5.264759801,31,70,424,792,165,194
2,Muttiah Muralitharan,46,140,0,12,18994,869,6.81,35.23,3.93,343,996,3071,751,496,697
3,Wasim Akram,52,115,6,121,18343,4210,16.52,36.23,3.9,113,251,3280,3593,406,790
4,Waqar Younis,47,25,0,21,12816,1445,10.31,30.52,4.69,149,476,1815,907,252,564
5,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,45,76,1,22,15856,2799,13.68,39.44,4.19,262,603,2774,1965,665,657
6,Shahid Afridi,39,19,39,351,17669,6892,23.58,44.73,,454,1117,2832,8326,179,785
7,Shaun M Pollock,45,98,14,58,15559,4059,26.46,39.98,3.68,72,653,2858,3636,631,764
8,Glenn D McGrath,49,96,0,0,0,236,3.83,34.04,3.88,106,35,0,0,0,550
9,Brett Lee,42,83,3,34,11283,1407,17.82,29.43,4.76,487,108,1941,974,433,584
10,Anil  Kumble,48,60,0,6,14539,1536,10.54,43.01,4.31,322,1183,2367,1082,95,458
11,Sanath Teran Jayasuriya,49,36,68,270,14841,14726,32.36,46.05,4.79,344,1211,2623,13434,487,837
12,Separamadu Lasith Malinga,35,5,1,21,10292,697,7.12,32.31,5.34,353,499,1798,511,255,454
13,Javagal Srinath,49,24,1,17,11776,1109,10.64,37.89,4.45,48,808,2026,685,184,490
14,Daniel L Vettori,40,16,4,15,13900,2715,17.33,46.1,4.13,553,212,2339,2326,53,499
15,Shane K Warne,49,25,1,13,10750,1413,13.05,36.32,4.25,210,262,1972,809,894,452
16,Ajit B Agarkar,41,114,3,22,9165,1574,14.59,32.93,5.07,0,0,0,0,0,467
17,Saqlain Mushtaq,42,27,0,4,8687,1434,11.85,30.45,4.29,0,0,0,0,0,383
18,Zaheer Khan,40,67,0,24,10230,0,12,35.8,4.93,351,1275,1424,843,185,443
19,Jacques H Kallis,43,85,86,137,10584,15885,44.36,39.38,4.84,529,0,1762,11731,220,775
20,Allan A Donald,52,17,0,0,8668,279,4.32,31.47,4.15,73,1182,1621,231,616,334
21,Abdul Razzaq,39,32,23,124,11114,6252,29.71,40.67,4.7,389,542,1476,4809,344,577
22,Harbhajan Singh,38,70,0,34,12567,1515,13.3,46.39,4.31,89,393,2175,1167,447,428
23,James M Anderson,36,50,0,0,9451,561,7.58,35.63,4.92,93,282,1537,284,424,377
24,Makhaya Ntini,41,77,0,6,8630,298,8.65,32.66,4.53,417,1830,1295,293,319,405
25,Mashrafe Bin Mortaza,35,31,1,59,10519,2002,14.02,39.57,4.81,301,1529,1764,1599,150,469
26,Kapil Dev,60,117,14,66,10930,3979,23.79,44.28,3.72,0,1252,1992,3755,94,608
27,Shakib Al Hasan,31,12,40,38,9759,6864,35.08,40.08,4.44,132,625,1664,5399,9,584
28,Shoaib Akhtar,43,76,0,12,7773,538,8.95,31.43,4.77,79,727,1549,429,82,392
29,Kyle D Mills,39,122,2,38,7897,1282,15.63,34.29,4.73,109,634,1407,1142,333,444
30,Heath H Streak,44,120,13,48,9499,4008,28.3,39.62,4.52,371,1806,1372,3332,874,488
31,Mitchell G Johnson,37,33,2,24,7648,987,16.12,31.33,4.84,214,679,1153,939,251,436
32,Darren Gough,48,30,0,5,8586,947,12.43,36.04,4.4,12,1196,1508,865,132,388
33,Courtney A Walsh,56,67,0,9,10840,451,6.98,47.67,3.84,49,332,2021,707,0,404
34,Curtly E L Ambrose,55,59,0,10,9307,985,10.65,41.57,3.48,172,112,1574,617,323,416
35,Abdur Razzak,36,27,1,21,7934,0,13.67,38.48,0,567,519,1072,1192,549,247
36,Chris Zinzan Harris,49,1,16,43,10729,6583,29,52.55,4.28,428,200,1927,4655,231,447
37,Craig J McDermott,53,88,0,7,7523,492,7.08,36.75,4.04,455,1534,1406,518,1,371
38,Christopher L Cairns,48,151,26,153,8206,5867,29.46,40.64,4.84,213,1034,1525,4844,154,514
39,Dwayne J J Bravo,35,119,10,58,0,3606,25.37,32.72,5.41,404,1213,915,2976,144,426
40,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,36,85,4,39,8382,1629,15.43,41.52,4.9,15,855,1485,1382,23,397
41,Bapu Krishnarao Venkatesh Prasad,49,105,0,5,8140,367,6.91,41.47,4.67,195,980,1269,168,40,300
42,Stephen Rodger Waugh,53,71,45,68,8807,9971,32.91,45.55,4.57,258,970,1603,7203,291,535
43,Dale W Steyn,35,118,1,9,6237,562,9.36,31.87,4.88,298,90,928,457,175,319
44,Carl L Hooper,52,133,29,65,9642,7517,35.34,49.6,4.36,713,667,1466,5835,214,503
45,Lance Klusener,47,114,19,76,7346,3977,41.1,38.21,4.7,575,1542,1562,3637,439,490
46,Morne Morkel,34,91,0,7,5560,354,9.24,30.64,4.96,90,57,1093,562,114,314
47,Congenige Randhi Dilhara Fernando,39,31,0,2,6281,393,9.19,34.8,5.21,416,1076,830,142,11,290
48,Timothy G Southee,30,137,1,26,7137,670,12.62,37.86,5.43,198,181,925,579,84,375
49,Saeed Ajmal,41,99,0,0,6033,535,7.04,0,4.16,661,810,866,384,166,284
50,Imran Khan,66,71,19,45,7121,5106,33.41,40.99,3.9,194,742,1042,3805,362,476
51,Aaqib Javed,46,77,0,7,7801,456,10.68,44.02,4.28,314,651,1209,363,0,305
52,Umar Gul,34,70,0,14,6102,642,9.72,33.88,5.2,246,664,1221,323,640,314
53,Stuart C J  Broad,32,4,0,10,6310,709,12.3,34.32,5.27,400,413,524,640,419,318
54,Nathan W Bracken,41,146,0,5,5931,282,11.65,33.1,4.42,828,489,814,185,8,322
55,Jacob D P Oram,40,150,13,81,6879,0,0,0,0,0,0,0,2569,16,428
56,Irfan K Pathan,34,124,5,37,5570,1941,23.39,33.84,5.27,89,736,834,1444,309,368
57,Ravindrasinh Anirudhsinh Jadeja,30,102,10,36,7533,2342,30.62,43.8,4.88,94,901,1265,1896,383,396
58,Andrew Flintoff,41,107,18,93,5760,3821,32.02,33.28,4.4,26,0,1004,3738,443,462
59,Shane R Watson,37,40,33,131,6331,6365,40.54,38.49,4.96,117,131,1192,5865,105,528
60,Christopher H Gayle,39,37,51,314,7298,11649,38.16,44.45,4.78,270,1796,1315,10072,0,643
61,Narangoda Liyanaarachchilage Thisara Chirantha Perera,29,51,10,79,5004,1841,21.12,31.73,5.9,514,411,871,2186,48,415
