ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets
1747,Richard A Austin,7,40,0,0,163,13,8,63.28718619,13,15,3,185.76,20,54
1748,Angelo Kanishka Perera,29,63,0,0,130,21,4,36.37718619,5.5,167,53,131.86,28,204
1749,Vikram R Singh,34,27,0,0,18960,13,8,35.62718619,8.75,246,205,130.16,217,373
1750,David S Steele,77,24,0,0,18261,12,8,65.45718619,9,316,256,,263,248
1751,Alam Talukdar,50,40,0,0,12699,16,10.52,68.95718619,5.14,5,165,196.96,150,186
1752,Fazl-E-Akbar,38,84,0,0,15853,8,7,49.20718619,4,8,299,157.66,289,396
1753,Vincent R Hogg,66,43,0,0,17758,19,10.52,,3.27,3,82,145.66,102,124
1754,Muthumudalige Pushpakumara,37,87,0,0,15760,19,10.52,60.20718619,4.2,100,325,179.66,327,362
1755,E H Shadeep N Silva,40,69,0,0,13045,13,7,48.28718619,4.71,50,298,155.76,282,553
1756,Fahim Muntasir,38,72,0,0,11284,17,3,55.20718619,3.94,351,182,169.66,149,400
1757,Marcus J North,39,63,0,0,14679,19,3,41.70718619,5.33,286,143,142.66,114,126
1758,Damien Apa Ravu,24,12,0,0,15024,22,2,69.78718619,5.64,218,94,198.76,61,122
1759,Maqsood Rana,46,141,0,0,10423,13,5,44.45718619,5.5,195,119,147.96,119,282
1760,Donald J Pringle,4,44,0,0,11935,15,2.5,59.70718619,3.67,220,151,178.66,147,373
1761,Lallit Narayan Rajbanshi,20,34,0,0,14169,20,10.52,49.28718619,4.71,102,104,157.76,101,382
1762,Tanbir Hayder,27,74,0,0,10814,16,2.5,56.70718619,6.7,270,115,172.66,136,266
1763,Marlon I Black,43,92,0,0,9532,14,2,,5.16,289,124,141.66,117,356
1764,Paul J Franks,40,87,0,0,8957,17,4,36.20718619,5.33,224,90,131.66,66,147
1765,Christopher H Lonsdale,31,126,0,0,10206,26,4,33.95718619,9.5,364,145,126.96,117,152
1766,Gyanendrakumar K Pandey,46,36,0,0,10940,11,4,51.37718619,4.62,225,101,161.86,98,182
1767,Patrick I Pocock,72,86,0,0,8664,9,4,48.70718619,2,126,141,156.66,107,295
1768,Samiur Rahman,65,38,0,0,11060,7,2,39.20718619,3,298,152,137.66,111,350
1769,Glenn S Trimble,56,137,0,0,12668,5,4,61.87718619,8,330,100,182.86,96,257
1770,Jayawardene W H D Boteju,41,47,0,0,9636,11,3,47.70718619,6.65,132,148,154.66,140,231
1771,Mazharul Haque,38,127,0,0,8724,18,3,57.03718619,6,,173,168.66,149,340
1772,Carl T Mumba,23,96,0,0,10424,7,3,35.03718619,6.48,187,148,129.06,130,204
1773,Pankaj Singh,33,13,0,0,11370,3,10.52,44.62718619,6.43,329,288,148.16,260,314
1774,Jitendra M Patel,73,56,0,0,9966,23,1,54.70718619,3.1,288,125,168.66,100,103
1775,Aftabodeen Shamsuden,41,8,0,0,7794,28,3,51.20718619,8,,121,161.66,113,148
1776,Usman Mushtaq,31,125,0,0,8412,7,3,30.95718619,4.5,,141,120.96,154,164
1777,Cornelius J P G Van Zyl,57,127,0,0,9556,11,3,40.95718619,5.17,222,153,140.96,128,335
